category,item_name,unit,duplicate_of_row,removed_row
仮設・足場資材,くさび緊結式足場（30坪 1月）,式,28095,28098
仮設・足場資材,くさび緊結式足場（30坪 2月）,式,28096,28099
仮設・足場資材,ヘルメットABS白,個,28134,28135
仮設・足場資材,ヘルメット（ABS白）,個,28134,28136
仮設・足場資材,レーザー墨出し器（4ライン）,台,28150,28152
仮設・足場資材,レーザー水平器4方向,個,28153,28154
仮設・足場資材,ローリングタワーH3m,台,28155,28156
仮設・足場資材,ローリングタワー（H3m）,台,28155,28157
仮設・足場資材,仮囲いパネル（H1800 1m）,m,28159,28160
仮設・足場資材,仮設トイレレンタル1月,基,28167,28169
仮設・足場資材,仮設電力仮設盤30A,式,28177,28179
仮設・足場資材,単管クランプ直交,個,28186,28187
仮設・足場資材,単管クランプ（直交）,個,28186,28188
仮設・足場資材,単管パイプ4m,本,28189,28217
仮設・足場資材,単管パイプ（4m）,本,28189,28219
仮設・足場資材,単管足場30坪1月,式,28220,28221
仮設・足場資材,単管足場（30坪 1月）,式,28220,28223
仮設・足場資材,吊り足場1m2/月,m2,28224,28225
仮設・足場資材,安全帯フルハーネス型,個,28231,28232
仮設・足場資材,安全帯（フルハーネス型）,個,28231,28233
仮設・足場資材,安全靴鋼芯,足,28235,28236
仮設・足場資材,安全靴（鋼芯）,足,28235,28238
仮設・足場資材,工事現場LED投光器50W,個,28241,28242
仮設・足場資材,枠組み足場30坪1月,式,28255,28256
仮設・足場資材,枠組み足場（30坪 1月）,式,28255,28257
仮設・足場資材,蛍光ベスト高視認,枚,28279,28280
仮設・足場資材,防塵マスクN95 10枚,箱,28311,28313
仮設・足場資材,防塵マスク（N95 10枚）,箱,28311,28314
仮設・足場資材,飛散防止メッシュ1.8×5.4m,枚,28323,28324
仮設・足場資材,飛散防止メッシュ（1.8×5.4m）,枚,28323,28325
仮設・足場資材,養生シート（防炎 1.8×5.4m）,枚,28328,28332
仮設・足場資材,高所作業車10m1日,日,28339,28343
仮設・足場資材,高所作業車（10m 1日）,日,28339,28344
住宅設備（収納・造作）,LGSスタッド65mm,本,28350,28352
住宅設備（収納・造作）,LGSランナー65mm,m,28351,28353
住宅設備（収納・造作）,パントリー（可動棚 1m2）,m2,29621,29622
住宅設備（収納・造作）,捨貼合板12mm3×6,枚,29798,29799
住宅設備（収納・造作）,洗面収納（三面鏡 W900）,台,30011,30012
住宅設備（収納・造作）,玄関収納（シューズクローク W1800）,台,30014,30015
住宅設備（収納・造作）,野縁30×40×4m,本,30251,30252
住宅設備（収納・造作）,食器棚（カップボード W2400）,台,30267,30268
塗装・コーキング・接着剤,コーキング材（アクリル系 クリア 333ml）,本,31901,31949
塗装・コーキング・接着剤,コーキング材（アクリル系 グレー 333ml）,本,31903,31950
塗装・コーキング・接着剤,コーキング材（アクリル系 ニュートラルグレー 333ml）,本,31904,31951
塗装・コーキング・接着剤,コーキング材（アクリル系 ブラウン 333ml）,本,31905,31952
塗装・コーキング・接着剤,コーキング材（アクリル系 ブラック 333ml）,本,31906,31953
塗装・コーキング・接着剤,コーキング材（アクリル系 ベージュ 333ml）,本,31907,31954
塗装・コーキング・接着剤,コーキング材（アクリル系 白 333ml）,本,31908,31955
塗装・コーキング・接着剤,コーキング材（シリコン クリア 333ml）,本,31909,31956
塗装・コーキング・接着剤,コーキング材（シリコン グレー 333ml）,本,31911,31957
塗装・コーキング・接着剤,コーキング材（シリコン ニュートラルグレー 333ml）,本,31912,31958
塗装・コーキング・接着剤,コーキング材（シリコン ブラウン 333ml）,本,31913,31959
塗装・コーキング・接着剤,コーキング材（シリコン ブラック 333ml）,本,31914,31960
塗装・コーキング・接着剤,コーキング材（シリコン ベージュ 333ml）,本,31915,31961
塗装・コーキング・接着剤,コーキング材（シリコン 白 333ml）,本,31916,31962
塗装・コーキング・接着剤,コーキング材（ブチルゴム クリア 333ml）,本,31917,31963
塗装・コーキング・接着剤,コーキング材（ブチルゴム グレー 333ml）,本,31919,31964
塗装・コーキング・接着剤,コーキング材（ブチルゴム ニュートラルグレー 333ml）,本,31920,31965
塗装・コーキング・接着剤,コーキング材（ブチルゴム ブラウン 333ml）,本,31921,31966
塗装・コーキング・接着剤,コーキング材（ブチルゴム ブラック 333ml）,本,31922,31967
塗装・コーキング・接着剤,コーキング材（ブチルゴム ベージュ 333ml）,本,31923,31968
塗装・コーキング・接着剤,コーキング材（ブチルゴム 白 333ml）,本,31924,31969
塗装・コーキング・接着剤,コーキング材（ポリウレタン クリア 333ml）,本,31925,31970
塗装・コーキング・接着剤,コーキング材（ポリウレタン グレー 333ml）,本,31927,31971
塗装・コーキング・接着剤,コーキング材（ポリウレタン ニュートラルグレー 333ml）,本,31928,31972
塗装・コーキング・接着剤,コーキング材（ポリウレタン ブラウン 333ml）,本,31929,31973
塗装・コーキング・接着剤,コーキング材（ポリウレタン ブラック 333ml）,本,31930,31974
塗装・コーキング・接着剤,コーキング材（ポリウレタン ベージュ 333ml）,本,31931,31975
塗装・コーキング・接着剤,コーキング材（ポリウレタン 白 333ml）,本,31932,31976
塗装・コーキング・接着剤,コーキング材（ポリサルファイド クリア 333ml）,本,31933,31977
塗装・コーキング・接着剤,コーキング材（ポリサルファイド グレー 333ml）,本,31935,31978
塗装・コーキング・接着剤,コーキング材（ポリサルファイド ニュートラルグレー 333ml）,本,31936,31979
塗装・コーキング・接着剤,コーキング材（ポリサルファイド ブラウン 333ml）,本,31937,31980
塗装・コーキング・接着剤,コーキング材（ポリサルファイド ブラック 333ml）,本,31938,31981
塗装・コーキング・接着剤,コーキング材（ポリサルファイド ベージュ 333ml）,本,31939,31982
塗装・コーキング・接着剤,コーキング材（ポリサルファイド 白 333ml）,本,31940,31983
塗装・コーキング・接着剤,コーキング材（変性シリコン クリア 333ml）,本,31941,31984
塗装・コーキング・接着剤,コーキング材（変性シリコン グレー 333ml）,本,31943,31985
塗装・コーキング・接着剤,コーキング材（変性シリコン ニュートラルグレー 333ml）,本,31944,31986
塗装・コーキング・接着剤,コーキング材（変性シリコン ブラウン 333ml）,本,31945,31987
塗装・コーキング・接着剤,コーキング材（変性シリコン ブラック 333ml）,本,31946,31988
塗装・コーキング・接着剤,コーキング材（変性シリコン ベージュ 333ml）,本,31947,31989
塗装・コーキング・接着剤,コーキング材（変性シリコン 白 333ml）,本,31948,31990
塗装・コーキング・接着剤,壁用接着剤（ボンドE350 1kg）,缶,32023,32024
塗装・コーキング・接着剤,床用接着剤（フロアメント 16kg）,缶,32053,32055
外壁材・外装,窯業系サイディング（ケイミュー 12mm タイル調）,m2,34920,35060
外壁材・外装,窯業系サイディング（ケイミュー 12mm フラット調）,m2,34921,35061
外壁材・外装,窯業系サイディング（ケイミュー 12mm プレミアム）,m2,34922,35062
外壁材・外装,窯業系サイディング（ケイミュー 12mm レンガ調）,m2,34923,35063
外壁材・外装,窯業系サイディング（ケイミュー 12mm 木目調）,m2,34924,35064
外壁材・外装,窯業系サイディング（ケイミュー 12mm 柄入り）,m2,34925,35065
外壁材・外装,窯業系サイディング（ケイミュー 12mm 石目調）,m2,34926,35066
外壁材・外装,窯業系サイディング（ケイミュー 14mm タイル調）,m2,34927,35067
外壁材・外装,窯業系サイディング（ケイミュー 14mm フラット調）,m2,34928,35068
外壁材・外装,窯業系サイディング（ケイミュー 14mm プレミアム）,m2,34929,35069
外壁材・外装,窯業系サイディング（ケイミュー 14mm レンガ調）,m2,34930,35070
外壁材・外装,窯業系サイディング（ケイミュー 14mm 木目調）,m2,34931,35071
外壁材・外装,窯業系サイディング（ケイミュー 14mm 柄入り）,m2,34932,35072
外壁材・外装,窯業系サイディング（ケイミュー 14mm 石目調）,m2,34933,35073
外壁材・外装,窯業系サイディング（ケイミュー 16mm タイル調）,m2,34934,35074
外壁材・外装,窯業系サイディング（ケイミュー 16mm フラット調）,m2,34935,35075
外壁材・外装,窯業系サイディング（ケイミュー 16mm プレミアム）,m2,34936,35076
外壁材・外装,窯業系サイディング（ケイミュー 16mm レンガ調）,m2,34937,35077
外壁材・外装,窯業系サイディング（ケイミュー 16mm 木目調）,m2,34938,35078
外壁材・外装,窯業系サイディング（ケイミュー 16mm 柄入り）,m2,34939,35079
外壁材・外装,窯業系サイディング（ケイミュー 16mm 石目調）,m2,34940,35080
外壁材・外装,窯業系サイディング（ケイミュー 18mm タイル調）,m2,34941,35081
外壁材・外装,窯業系サイディング（ケイミュー 18mm フラット調）,m2,34942,35082
外壁材・外装,窯業系サイディング（ケイミュー 18mm プレミアム）,m2,34943,35083
外壁材・外装,窯業系サイディング（ケイミュー 18mm レンガ調）,m2,34944,35084
外壁材・外装,窯業系サイディング（ケイミュー 18mm 木目調）,m2,34945,35085
外壁材・外装,窯業系サイディング（ケイミュー 18mm 柄入り）,m2,34946,35086
外壁材・外装,窯業系サイディング（ケイミュー 18mm 石目調）,m2,34947,35087
外壁材・外装,窯業系サイディング（ケイミュー 21mm タイル調）,m2,34948,35088
外壁材・外装,窯業系サイディング（ケイミュー 21mm フラット調）,m2,34949,35089
外壁材・外装,窯業系サイディング（ケイミュー 21mm プレミアム）,m2,34950,35090
外壁材・外装,窯業系サイディング（ケイミュー 21mm レンガ調）,m2,34951,35091
外壁材・外装,窯業系サイディング（ケイミュー 21mm 木目調）,m2,34952,35092
外壁材・外装,窯業系サイディング（ケイミュー 21mm 柄入り）,m2,34953,35093
外壁材・外装,窯業系サイディング（ケイミュー 21mm 石目調）,m2,34954,35094
外壁材・外装,窯業系サイディング（ニチハ 12mm タイル調）,m2,34955,35095
外壁材・外装,窯業系サイディング（ニチハ 12mm フラット調）,m2,34956,35096
外壁材・外装,窯業系サイディング（ニチハ 12mm プレミアム）,m2,34957,35097
外壁材・外装,窯業系サイディング（ニチハ 12mm レンガ調）,m2,34958,35098
外壁材・外装,窯業系サイディング（ニチハ 12mm 木目調）,m2,34959,35099
外壁材・外装,窯業系サイディング（ニチハ 12mm 柄入り）,m2,34960,35100
外壁材・外装,窯業系サイディング（ニチハ 12mm 石目調）,m2,34961,35101
外壁材・外装,窯業系サイディング（ニチハ 14mm タイル調）,m2,34962,35102
外壁材・外装,窯業系サイディング（ニチハ 14mm フラット調）,m2,34963,35103
外壁材・外装,窯業系サイディング（ニチハ 14mm プレミアム）,m2,34964,35104
外壁材・外装,窯業系サイディング（ニチハ 14mm レンガ調）,m2,34965,35105
外壁材・外装,窯業系サイディング（ニチハ 14mm 木目調）,m2,34966,35106
外壁材・外装,窯業系サイディング（ニチハ 14mm 柄入り）,m2,34967,35107
外壁材・外装,窯業系サイディング（ニチハ 14mm 石目調）,m2,34968,35108
外壁材・外装,窯業系サイディング（ニチハ 16mm タイル調）,m2,34969,35109
外壁材・外装,窯業系サイディング（ニチハ 16mm フラット調）,m2,34970,35110
外壁材・外装,窯業系サイディング（ニチハ 16mm プレミアム）,m2,34971,35111
外壁材・外装,窯業系サイディング（ニチハ 16mm レンガ調）,m2,34972,35112
外壁材・外装,窯業系サイディング（ニチハ 16mm 木目調）,m2,34973,35113
外壁材・外装,窯業系サイディング（ニチハ 16mm 柄入り）,m2,34974,35114
外壁材・外装,窯業系サイディング（ニチハ 16mm 石目調）,m2,34975,35115
外壁材・外装,窯業系サイディング（ニチハ 18mm タイル調）,m2,34976,35116
外壁材・外装,窯業系サイディング（ニチハ 18mm フラット調）,m2,34977,35117
外壁材・外装,窯業系サイディング（ニチハ 18mm プレミアム）,m2,34978,35118
外壁材・外装,窯業系サイディング（ニチハ 18mm レンガ調）,m2,34979,35119
外壁材・外装,窯業系サイディング（ニチハ 18mm 木目調）,m2,34980,35120
外壁材・外装,窯業系サイディング（ニチハ 18mm 柄入り）,m2,34981,35121
外壁材・外装,窯業系サイディング（ニチハ 18mm 石目調）,m2,34982,35122
外壁材・外装,窯業系サイディング（ニチハ 21mm タイル調）,m2,34983,35123
外壁材・外装,窯業系サイディング（ニチハ 21mm フラット調）,m2,34984,35124
外壁材・外装,窯業系サイディング（ニチハ 21mm プレミアム）,m2,34985,35125
外壁材・外装,窯業系サイディング（ニチハ 21mm レンガ調）,m2,34986,35126
外壁材・外装,窯業系サイディング（ニチハ 21mm 木目調）,m2,34987,35127
外壁材・外装,窯業系サイディング（ニチハ 21mm 柄入り）,m2,34988,35128
外壁材・外装,窯業系サイディング（ニチハ 21mm 石目調）,m2,34989,35129
外壁材・外装,窯業系サイディング（住友スリーエム 12mm タイル調）,m2,34990,35130
外壁材・外装,窯業系サイディング（住友スリーエム 12mm フラット調）,m2,34991,35131
外壁材・外装,窯業系サイディング（住友スリーエム 12mm プレミアム）,m2,34992,35132
外壁材・外装,窯業系サイディング（住友スリーエム 12mm レンガ調）,m2,34993,35133
外壁材・外装,窯業系サイディング（住友スリーエム 12mm 木目調）,m2,34994,35134
外壁材・外装,窯業系サイディング（住友スリーエム 12mm 柄入り）,m2,34995,35135
外壁材・外装,窯業系サイディング（住友スリーエム 12mm 石目調）,m2,34996,35136
外壁材・外装,窯業系サイディング（住友スリーエム 14mm タイル調）,m2,34997,35137
外壁材・外装,窯業系サイディング（住友スリーエム 14mm フラット調）,m2,34998,35138
外壁材・外装,窯業系サイディング（住友スリーエム 14mm プレミアム）,m2,34999,35139
外壁材・外装,窯業系サイディング（住友スリーエム 14mm レンガ調）,m2,35000,35140
外壁材・外装,窯業系サイディング（住友スリーエム 14mm 木目調）,m2,35001,35141
外壁材・外装,窯業系サイディング（住友スリーエム 14mm 柄入り）,m2,35002,35142
外壁材・外装,窯業系サイディング（住友スリーエム 14mm 石目調）,m2,35003,35143
外壁材・外装,窯業系サイディング（住友スリーエム 16mm タイル調）,m2,35004,35144
外壁材・外装,窯業系サイディング（住友スリーエム 16mm フラット調）,m2,35005,35145
外壁材・外装,窯業系サイディング（住友スリーエム 16mm プレミアム）,m2,35006,35146
外壁材・外装,窯業系サイディング（住友スリーエム 16mm レンガ調）,m2,35007,35147
外壁材・外装,窯業系サイディング（住友スリーエム 16mm 木目調）,m2,35008,35148
外壁材・外装,窯業系サイディング（住友スリーエム 16mm 柄入り）,m2,35009,35149
外壁材・外装,窯業系サイディング（住友スリーエム 16mm 石目調）,m2,35010,35150
外壁材・外装,窯業系サイディング（住友スリーエム 18mm タイル調）,m2,35011,35151
外壁材・外装,窯業系サイディング（住友スリーエム 18mm フラット調）,m2,35012,35152
外壁材・外装,窯業系サイディング（住友スリーエム 18mm プレミアム）,m2,35013,35153
外壁材・外装,窯業系サイディング（住友スリーエム 18mm レンガ調）,m2,35014,35154
外壁材・外装,窯業系サイディング（住友スリーエム 18mm 木目調）,m2,35015,35155
外壁材・外装,窯業系サイディング（住友スリーエム 18mm 柄入り）,m2,35016,35156
外壁材・外装,窯業系サイディング（住友スリーエム 18mm 石目調）,m2,35017,35157
外壁材・外装,窯業系サイディング（住友スリーエム 21mm タイル調）,m2,35018,35158
外壁材・外装,窯業系サイディング（住友スリーエム 21mm フラット調）,m2,35019,35159
外壁材・外装,窯業系サイディング（住友スリーエム 21mm プレミアム）,m2,35020,35160
外壁材・外装,窯業系サイディング（住友スリーエム 21mm レンガ調）,m2,35021,35161
外壁材・外装,窯業系サイディング（住友スリーエム 21mm 木目調）,m2,35022,35162
外壁材・外装,窯業系サイディング（住友スリーエム 21mm 柄入り）,m2,35023,35163
外壁材・外装,窯業系サイディング（住友スリーエム 21mm 石目調）,m2,35024,35164
外壁材・外装,窯業系サイディング（旭トステム 12mm タイル調）,m2,35025,35165
外壁材・外装,窯業系サイディング（旭トステム 12mm フラット調）,m2,35026,35166
外壁材・外装,窯業系サイディング（旭トステム 12mm プレミアム）,m2,35027,35167
外壁材・外装,窯業系サイディング（旭トステム 12mm レンガ調）,m2,35028,35168
外壁材・外装,窯業系サイディング（旭トステム 12mm 木目調）,m2,35029,35169
外壁材・外装,窯業系サイディング（旭トステム 12mm 柄入り）,m2,35030,35170
外壁材・外装,窯業系サイディング（旭トステム 12mm 石目調）,m2,35031,35171
外壁材・外装,窯業系サイディング（旭トステム 14mm タイル調）,m2,35032,35172
外壁材・外装,窯業系サイディング（旭トステム 14mm フラット調）,m2,35033,35173
外壁材・外装,窯業系サイディング（旭トステム 14mm プレミアム）,m2,35034,35174
外壁材・外装,窯業系サイディング（旭トステム 14mm レンガ調）,m2,35035,35175
外壁材・外装,窯業系サイディング（旭トステム 14mm 木目調）,m2,35036,35176
外壁材・外装,窯業系サイディング（旭トステム 14mm 柄入り）,m2,35037,35177
外壁材・外装,窯業系サイディング（旭トステム 14mm 石目調）,m2,35038,35178
外壁材・外装,窯業系サイディング（旭トステム 16mm タイル調）,m2,35039,35179
外壁材・外装,窯業系サイディング（旭トステム 16mm フラット調）,m2,35040,35180
外壁材・外装,窯業系サイディング（旭トステム 16mm プレミアム）,m2,35041,35181
外壁材・外装,窯業系サイディング（旭トステム 16mm レンガ調）,m2,35042,35182
外壁材・外装,窯業系サイディング（旭トステム 16mm 木目調）,m2,35043,35183
外壁材・外装,窯業系サイディング（旭トステム 16mm 柄入り）,m2,35044,35184
外壁材・外装,窯業系サイディング（旭トステム 16mm 石目調）,m2,35045,35185
外壁材・外装,窯業系サイディング（旭トステム 18mm タイル調）,m2,35046,35186
外壁材・外装,窯業系サイディング（旭トステム 18mm フラット調）,m2,35047,35187
外壁材・外装,窯業系サイディング（旭トステム 18mm プレミアム）,m2,35048,35188
外壁材・外装,窯業系サイディング（旭トステム 18mm レンガ調）,m2,35049,35189
外壁材・外装,窯業系サイディング（旭トステム 18mm 木目調）,m2,35050,35190
外壁材・外装,窯業系サイディング（旭トステム 18mm 柄入り）,m2,35051,35191
外壁材・外装,窯業系サイディング（旭トステム 18mm 石目調）,m2,35052,35192
外壁材・外装,窯業系サイディング（旭トステム 21mm タイル調）,m2,35053,35193
外壁材・外装,窯業系サイディング（旭トステム 21mm フラット調）,m2,35054,35194
外壁材・外装,窯業系サイディング（旭トステム 21mm プレミアム）,m2,35055,35195
外壁材・外装,窯業系サイディング（旭トステム 21mm レンガ調）,m2,35056,35196
外壁材・外装,窯業系サイディング（旭トステム 21mm 木目調）,m2,35057,35197
外壁材・外装,窯業系サイディング（旭トステム 21mm 柄入り）,m2,35058,35198
外壁材・外装,窯業系サイディング（旭トステム 21mm 石目調）,m2,35059,35199
外構・仕上げ,LIXIL 門扉 両開きW1600,式,35226,35227
外構・仕上げ,LIXIL 門扉 片開きW900,式,35228,35230
外構・仕上げ,YKK AP 門扉 両開きW1600,式,35247,35248
外構・仕上げ,YKK AP 門扉 片開きW900,式,35249,35251
外構・仕上げ,ウッドデッキ材（イペ 90×20×2m）,本,35464,35467
外構・仕上げ,ウッドデッキ材（人工木 1m2）,m2,35466,35468
外構・仕上げ,セメント（25kg）,袋,35703,35704
外構・仕上げ,タカショー 門扉 両開きW1600,式,35721,35722
外構・仕上げ,タカショー 門扉 片開きW900,式,35723,35725
外構・仕上げ,三協アルミ 門扉 両開きW1600,式,36136,36137
外構・仕上げ,三協アルミ 門扉 片開きW900,式,36138,36140
外構・仕上げ,人工芝（標準品 1m2）,m2,36336,36339
外構・仕上げ,人工芝（高品質 1m2）,m2,36337,36340
外構・仕上げ,四国化成 門扉 両開きW1600,式,36359,36360
外構・仕上げ,四国化成 門扉 片開きW900,式,36361,36363
外構・仕上げ,平板（300×300 コンクリート）,枚,36509,36512
外構・仕上げ,平板（600×300 コンクリート）,枚,36510,36514
外構・仕上げ,御影石平板（600×300）,枚,36516,36517
外構・仕上げ,砂利（白砕石 1m3）,m3,36694,36699
外構・仕上げ,砂（川砂 20kg）,袋,36692,36700
外構・仕上げ,腐葉土（40L）,袋,36773,36774
外構・仕上げ,芝生（コウライシバ 1m2）,m2,36777,36778
外構・仕上げ,防草シート（1m×10m）,巻,36789,36791
左官・モルタル材料,カラーモルタル（赤系 5kg）,袋,40307,40309
左官・モルタル材料,グラウト無収縮20kg,袋,40311,40312
左官・モルタル材料,グラウト（無収縮 20kg）,袋,40311,40313
左官・モルタル材料,コンクリート用エポキシ（4L）,缶,40314,40315
左官・モルタル材料,シロアリ駆除剤バリア工法18L,缶,40319,40320
左官・モルタル材料,シーラー浸透固化（4L）,缶,40321,40322
左官・モルタル材料,ジョリパット（外壁用 20kg）,袋,40324,40325
左官・モルタル材料,スタッコ（外壁用 18kg）,袋,40327,40328
左官・モルタル材料,セメントモルタル（ドライ 25kg）,袋,40329,40331
左官・モルタル材料,セメントモルタル（速硬 25kg）,袋,40330,40332
左官・モルタル材料,フレキシブルモルタル（20kg）,袋,40344,40345
左官・モルタル材料,プライマー外壁用（4L）,缶,40347,40348
左官・モルタル材料,リシン（外壁用 20kg）,袋,40363,40364
左官・モルタル材料,レベラー床用20kg,袋,40365,40366
左官・モルタル材料,レベラー（床用 20kg）,袋,40365,40367
左官・モルタル材料,大津壁材5kg,袋,40429,40430
左官・モルタル材料,大津壁材（5kg）,袋,40429,40431
左官・モルタル材料,屋根用遮熱シリコン15kg,缶,40435,40436
左官・モルタル材料,接着モルタル20kg,袋,40457,40458
左官・モルタル材料,接着モルタル（20kg）,袋,40457,40459
左官・モルタル材料,漆喰（内装用 5kg）,袋,40465,40469
左官・モルタル材料,漆喰（外装用 15kg）,袋,40466,40470
左官・モルタル材料,漆喰（本漆喰 5kg）,袋,40467,40472
左官・モルタル材料,珪藻土（内装用 5kg）,袋,40475,40479
左官・モルタル材料,珪藻土（高品質 5kg）,袋,40476,40480
左官・モルタル材料,砂壁材5kg,袋,40499,40500
左官・モルタル材料,砂壁材（5kg）,袋,40499,40501
左官・モルタル材料,聚楽壁材5kg,袋,40504,40505
左官・モルタル材料,聚楽壁材（5kg）,袋,40504,40506
左官・モルタル材料,防水モルタル20kg,袋,40511,40512
左官・モルタル材料,防水モルタル（20kg）,袋,40511,40513
左官・モルタル材料,防腐剤ACQ水性18L,缶,40515,40517
左官・モルタル材料,防腐剤キシラデコール4L,缶,40516,40518
左官・モルタル材料,防蟻処理剤マイクロカプセル18L,缶,40520,40523
左官・モルタル材料,防蟻処理剤乳剤系18L,缶,40521,40524
左官・モルタル材料,防蟻処理剤土壌用18L,缶,40522,40525
断熱材,断熱材 スタイロフォームEX（100mm）,m2,44056,44069
断熱材,断熱材 スタイロフォームEX（120mm）,m2,44057,44070
断熱材,断熱材 スタイロフォームEX（140mm）,m2,44058,44071
断熱材,断熱材 スタイロフォームEX（155mm）,m2,44059,44072
断熱材,断熱材 スタイロフォームEX（170mm）,m2,44060,44073
断熱材,断熱材 スタイロフォームEX（185mm）,m2,44061,44074
断熱材,断熱材 スタイロフォームEX（200mm）,m2,44062,44075
断熱材,断熱材 スタイロフォームEX（25mm）,m2,44063,44076
断熱材,断熱材 スタイロフォームEX（35mm）,m2,44064,44077
断熱材,断熱材 スタイロフォームEX（50mm）,m2,44065,44078
断熱材,断熱材 スタイロフォームEX（65mm）,m2,44066,44079
断熱材,断熱材 スタイロフォームEX（75mm）,m2,44067,44080
断熱材,断熱材 スタイロフォームEX（90mm）,m2,44068,44081
断熱材,断熱材 スタイロフォームIB（100mm）,m2,44082,44095
断熱材,断熱材 スタイロフォームIB（120mm）,m2,44083,44096
断熱材,断熱材 スタイロフォームIB（140mm）,m2,44084,44097
断熱材,断熱材 スタイロフォームIB（155mm）,m2,44085,44098
断熱材,断熱材 スタイロフォームIB（170mm）,m2,44086,44099
断熱材,断熱材 スタイロフォームIB（185mm）,m2,44087,44100
断熱材,断熱材 スタイロフォームIB（200mm）,m2,44088,44101
断熱材,断熱材 スタイロフォームIB（25mm）,m2,44089,44102
断熱材,断熱材 スタイロフォームIB（35mm）,m2,44090,44103
断熱材,断熱材 スタイロフォームIB（50mm）,m2,44091,44104
断熱材,断熱材 スタイロフォームIB（65mm）,m2,44092,44105
断熱材,断熱材 スタイロフォームIB（75mm）,m2,44093,44106
断熱材,断熱材 スタイロフォームIB（90mm）,m2,44094,44107
断熱材,断熱材 セルロースファイバー（100mm）,m2,44108,44121
断熱材,断熱材 セルロースファイバー（120mm）,m2,44109,44122
断熱材,断熱材 セルロースファイバー（140mm）,m2,44110,44123
断熱材,断熱材 セルロースファイバー（155mm）,m2,44111,44124
断熱材,断熱材 セルロースファイバー（170mm）,m2,44112,44125
断熱材,断熱材 セルロースファイバー（185mm）,m2,44113,44126
断熱材,断熱材 セルロースファイバー（200mm）,m2,44114,44127
断熱材,断熱材 セルロースファイバー（25mm）,m2,44115,44128
断熱材,断熱材 セルロースファイバー（35mm）,m2,44116,44129
断熱材,断熱材 セルロースファイバー（50mm）,m2,44117,44130
