item_id,category,item_name,unit,block,証拠等級,証拠ref,証拠URL,理由
19a5b6d484d2,給湯器,コロナ 給湯器 20号 LPガス ふろ給湯 フルオート,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
ac63e158dc5d,給湯器,コロナ 給湯器 20号 LPガス ふろ給湯 追い炊き付き,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
7f997901c09f,給湯器,コロナ 給湯器 20号 LPガス ふろ給湯（BF）,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
dd95b62dd127,給湯器,コロナ 給湯器 20号 LPガス 床暖房対応,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
fa096fc89c45,給湯器,コロナ 給湯器 20号 LPガス 暖房熱源機,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
297d2ba674e8,給湯器,コロナ 給湯器 20号 LPガス 給湯専用,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
7ee270608257,給湯器,コロナ 給湯器 20号 エコジョーズ追い焚き付き,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,エコジョーズはガス技術、コロナ非該当
f7f97f9f2f6f,給湯器,コロナ 給湯器 20号 都市ガス 13A ふろ給湯 フルオート,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
375591076792,給湯器,コロナ 給湯器 20号 都市ガス 13A ふろ給湯 追い炊き付き,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
05a2fb6af4f6,給湯器,コロナ 給湯器 20号 都市ガス 13A ふろ給湯（BF）,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
a7b19b004346,給湯器,コロナ 給湯器 20号 都市ガス 13A 床暖房対応,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
7941ffed86d1,給湯器,コロナ 給湯器 20号 都市ガス 13A 暖房熱源機,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
1c399e26b94e,給湯器,コロナ 給湯器 20号 都市ガス 13A 給湯専用,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
98841bd7042d,給湯器,コロナ 給湯器 24号 LPガス ふろ給湯 フルオート,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
1d755946d0be,給湯器,コロナ 給湯器 24号 LPガス ふろ給湯 追い炊き付き,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
401d09efaba9,給湯器,コロナ 給湯器 24号 LPガス ふろ給湯（BF）,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
fa864840c75a,給湯器,コロナ 給湯器 24号 LPガス 床暖房対応,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
45aa83ed34c5,給湯器,コロナ 給湯器 24号 LPガス 暖房熱源機,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
47c04646bdaf,給湯器,コロナ 給湯器 24号 LPガス 給湯専用,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
6f4f6d839221,給湯器,コロナ 給湯器 24号 エコジョーズ追い焚き付き,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,エコジョーズはガス技術、コロナ非該当
5736b73ff0a3,給湯器,コロナ 給湯器 24号 都市ガス 13A ふろ給湯 フルオート,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
f14c95e20c93,給湯器,コロナ 給湯器 24号 都市ガス 13A ふろ給湯 追い炊き付き,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
5ea530ad1ded,給湯器,コロナ 給湯器 24号 都市ガス 13A ふろ給湯（BF）,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
a2cd9783fc00,給湯器,コロナ 給湯器 24号 都市ガス 13A 床暖房対応,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
0a1c0d3f9a12,給湯器,コロナ 給湯器 24号 都市ガス 13A 暖房熱源機,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
e4441125482b,給湯器,コロナ 給湯器 24号 都市ガス 13A 給湯専用,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
01f7357a4db9,給湯器,コロナ 給湯器 28号 LPガス ふろ給湯 フルオート,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
2fce293623af,給湯器,コロナ 給湯器 28号 LPガス ふろ給湯 追い炊き付き,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
4c8fa9142081,給湯器,コロナ 給湯器 28号 LPガス ふろ給湯（BF）,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
06f3728061fb,給湯器,コロナ 給湯器 28号 LPガス 床暖房対応,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
20ccfb141c9a,給湯器,コロナ 給湯器 28号 LPガス 暖房熱源機,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
11ec84eac947,給湯器,コロナ 給湯器 28号 LPガス 給湯専用,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
b36007716907,給湯器,コロナ 給湯器 28号 エコジョーズ追い焚き付き,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,エコジョーズはガス技術、コロナ非該当
f5de76544096,給湯器,コロナ 給湯器 28号 標準,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
98a3e270f1f2,給湯器,コロナ 給湯器 28号 石油（灯油） ふろ給湯 フルオート,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
1eca67344943,給湯器,コロナ 給湯器 28号 石油（灯油） ふろ給湯 追い炊き付き,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
f9c1435d1f3f,給湯器,コロナ 給湯器 28号 石油（灯油） ふろ給湯（BF）,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
b4a5d6aab47d,給湯器,コロナ 給湯器 28号 石油（灯油） 床暖房対応,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
b10a39638cf7,給湯器,コロナ 給湯器 28号 石油（灯油） 暖房熱源機,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
d31dac83688c,給湯器,コロナ 給湯器 28号 石油（灯油） 給湯専用,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
7e3ee8ce7da7,給湯器,コロナ 給湯器 28号 都市ガス 13A ふろ給湯 フルオート,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
de6814774972,給湯器,コロナ 給湯器 28号 都市ガス 13A ふろ給湯 追い炊き付き,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
b4a08877217a,給湯器,コロナ 給湯器 28号 都市ガス 13A ふろ給湯（BF）,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
9e26c13cbc39,給湯器,コロナ 給湯器 28号 都市ガス 13A 床暖房対応,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
521f21a038b5,給湯器,コロナ 給湯器 28号 都市ガス 13A 暖房熱源機,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
55b58e3edeb7,給湯器,コロナ 給湯器 28号 都市ガス 13A 給湯専用,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
c92332dedde3,給湯器,ノーリツ GT-C6052SAWX 60号,台,型番:GT-C6052SAWX,A,E19,https://www.noritz.co.jp/product/kyutou_bath/gas/gasfuro_eco/gasfuro_c72.html,60号は非実在の架空外挿
cab9c961b53c,給湯器,ノーリツ 給湯器 28号 LPガス ふろ給湯 フルオート,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
5eeaf45c68e6,給湯器,ノーリツ 給湯器 28号 LPガス ふろ給湯 追い炊き付き,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
ffd19109d11b,給湯器,ノーリツ 給湯器 28号 LPガス ふろ給湯（BF）,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
1eb9986d113c,給湯器,ノーリツ 給湯器 28号 LPガス 床暖房対応,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
a40369ba0230,給湯器,ノーリツ 給湯器 28号 LPガス 暖房熱源機,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
205e73e4bf8c,給湯器,ノーリツ 給湯器 28号 LPガス 給湯専用,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
3c56c1dee1cf,給湯器,ノーリツ 給湯器 28号 エコジョーズ追い焚き付き,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
a00391a4a7e7,給湯器,ノーリツ 給湯器 28号 標準,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
77e63a2e3a98,給湯器,ノーリツ 給湯器 28号 石油（灯油） ふろ給湯 フルオート,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
8b2f9ee37a1c,給湯器,ノーリツ 給湯器 28号 石油（灯油） ふろ給湯 追い炊き付き,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
a314aff595bf,給湯器,ノーリツ 給湯器 28号 石油（灯油） ふろ給湯（BF）,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
a423cb0de8f9,給湯器,ノーリツ 給湯器 28号 石油（灯油） 床暖房対応,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
f8ac5619ca28,給湯器,ノーリツ 給湯器 28号 石油（灯油） 暖房熱源機,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
c50e8c02f766,給湯器,ノーリツ 給湯器 28号 石油（灯油） 給湯専用,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
301bf9330b31,給湯器,ノーリツ 給湯器 28号 都市ガス 13A ふろ給湯 フルオート,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
32e6164e5e68,給湯器,ノーリツ 給湯器 28号 都市ガス 13A ふろ給湯 追い炊き付き,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
3b3732c0f928,給湯器,ノーリツ 給湯器 28号 都市ガス 13A ふろ給湯（BF）,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
3f0335f6b6d7,給湯器,ノーリツ 給湯器 28号 都市ガス 13A 床暖房対応,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
90cbfafde0c6,給湯器,ノーリツ 給湯器 28号 都市ガス 13A 暖房熱源機,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
bbf16bbd95cf,給湯器,ノーリツ 給湯器 28号 都市ガス 13A 給湯専用,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
f3d39a30c111,給湯器,ノーリツ 給湯器（28号 エコジョーズ追い焚き）,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
8c556ab4d4ac,給湯器,ノーリツ 給湯器（28号 エコジョーズ）,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
2783f9071bda,給湯器,ノーリツ 給湯器（28号 標準）,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
7233d845c952,給湯器,パナソニック 給湯器 16号 LPガス ふろ給湯 フルオート,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
20bc6e044f77,給湯器,パナソニック 給湯器 16号 LPガス ふろ給湯 追い炊き付き,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
17e55edd9a4f,給湯器,パナソニック 給湯器 16号 LPガス ふろ給湯（BF）,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
04c0fe886a77,給湯器,パナソニック 給湯器 16号 LPガス 暖房熱源機,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
b719b2151885,給湯器,パナソニック 給湯器 16号 LPガス 給湯専用,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
5cab48c6c51d,給湯器,パナソニック 給湯器 16号 石油（灯油） ふろ給湯 フルオート,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
0dd59ec954bc,給湯器,パナソニック 給湯器 16号 石油（灯油） ふろ給湯 追い炊き付き,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
da7bab124c68,給湯器,パナソニック 給湯器 16号 石油（灯油） ふろ給湯（BF）,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
82acc104462c,給湯器,パナソニック 給湯器 16号 石油（灯油） 暖房熱源機,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
ef6af18418e1,給湯器,パナソニック 給湯器 16号 石油（灯油） 給湯専用,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
bfe44e93f24d,給湯器,パナソニック 給湯器 16号 都市ガス 13A ふろ給湯 フルオート,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
8976770f4538,給湯器,パナソニック 給湯器 16号 都市ガス 13A ふろ給湯 追い炊き付き,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
74508cbc6316,給湯器,パナソニック 給湯器 16号 都市ガス 13A ふろ給湯（BF）,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
e23067fd71d0,給湯器,パナソニック 給湯器 16号 都市ガス 13A 暖房熱源機,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
3f0a99e490c1,給湯器,パナソニック 給湯器 16号 都市ガス 13A 給湯専用,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
9609e9320fcc,給湯器,パナソニック 給湯器 20号 LPガス ふろ給湯 フルオート,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
c37489d1160a,給湯器,パナソニック 給湯器 20号 LPガス ふろ給湯 追い炊き付き,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
394a82b8608a,給湯器,パナソニック 給湯器 20号 LPガス ふろ給湯（BF）,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
f7d01e18f4e6,給湯器,パナソニック 給湯器 20号 LPガス 床暖房対応,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
d884b0277bbe,給湯器,パナソニック 給湯器 20号 LPガス 暖房熱源機,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
79595b457575,給湯器,パナソニック 給湯器 20号 LPガス 給湯専用,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
c14eea3bccd4,給湯器,パナソニック 給湯器 20号 石油（灯油） ふろ給湯 フルオート,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
380bd19d4038,給湯器,パナソニック 給湯器 20号 石油（灯油） ふろ給湯 追い炊き付き,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
6a80388391c0,給湯器,パナソニック 給湯器 20号 石油（灯油） ふろ給湯（BF）,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
0120d0a2aee6,給湯器,パナソニック 給湯器 20号 石油（灯油） 床暖房対応,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
d6795a04f695,給湯器,パナソニック 給湯器 20号 石油（灯油） 暖房熱源機,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
5a3c945aa491,給湯器,パナソニック 給湯器 20号 石油（灯油） 給湯専用,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
8c01d3eff904,給湯器,パナソニック 給湯器 20号 都市ガス 13A ふろ給湯 フルオート,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
9424e4563308,給湯器,パナソニック 給湯器 20号 都市ガス 13A ふろ給湯 追い炊き付き,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
b5e285c691dc,給湯器,パナソニック 給湯器 20号 都市ガス 13A ふろ給湯（BF）,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
47dd4dae2096,給湯器,パナソニック 給湯器 20号 都市ガス 13A 床暖房対応,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
0528ed02cf8c,給湯器,パナソニック 給湯器 20号 都市ガス 13A 暖房熱源機,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
dff568976987,給湯器,パナソニック 給湯器 20号 都市ガス 13A 給湯専用,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
e9357e509ff9,給湯器,パナソニック 給湯器 24号 LPガス ふろ給湯 フルオート,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
c7fa9ef16636,給湯器,パナソニック 給湯器 24号 LPガス ふろ給湯 追い炊き付き,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
bed98c8be475,給湯器,パナソニック 給湯器 24号 LPガス ふろ給湯（BF）,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
a5c865d82ca5,給湯器,パナソニック 給湯器 24号 LPガス 床暖房対応,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
a21ce93d15c4,給湯器,パナソニック 給湯器 24号 LPガス 暖房熱源機,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
71d7cb4f6e21,給湯器,パナソニック 給湯器 24号 LPガス 給湯専用,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
3dfb857bc31c,給湯器,パナソニック 給湯器 24号 石油（灯油） ふろ給湯 フルオート,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
4798b76022ef,給湯器,パナソニック 給湯器 24号 石油（灯油） ふろ給湯 追い炊き付き,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
9c746940b8bb,給湯器,パナソニック 給湯器 24号 石油（灯油） ふろ給湯（BF）,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
62bd66dd24c4,給湯器,パナソニック 給湯器 24号 石油（灯油） 床暖房対応,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
2b38130e43db,給湯器,パナソニック 給湯器 24号 石油（灯油） 暖房熱源機,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
b254d8afe6db,給湯器,パナソニック 給湯器 24号 石油（灯油） 給湯専用,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
84eca802ef58,給湯器,パナソニック 給湯器 24号 都市ガス 13A ふろ給湯 フルオート,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
762759d2d390,給湯器,パナソニック 給湯器 24号 都市ガス 13A ふろ給湯 追い炊き付き,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
1a6a6026a23b,給湯器,パナソニック 給湯器 24号 都市ガス 13A ふろ給湯（BF）,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
a76010dfff44,給湯器,パナソニック 給湯器 24号 都市ガス 13A 床暖房対応,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
c551bc834a7a,給湯器,パナソニック 給湯器 24号 都市ガス 13A 暖房熱源機,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
cce97e56a064,給湯器,パナソニック 給湯器 24号 都市ガス 13A 給湯専用,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
440dc9c6be91,給湯器,パナソニック 給湯器 28号 LPガス ふろ給湯 フルオート,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
e6bb6123b15b,給湯器,パナソニック 給湯器 28号 LPガス ふろ給湯 追い炊き付き,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
ec01ac24a1cd,給湯器,パナソニック 給湯器 28号 LPガス ふろ給湯（BF）,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
d18165b0aaf3,給湯器,パナソニック 給湯器 28号 LPガス 床暖房対応,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
a9214c7e7de5,給湯器,パナソニック 給湯器 28号 LPガス 暖房熱源機,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
f3ae0707a4d0,給湯器,パナソニック 給湯器 28号 LPガス 給湯専用,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
754b4baed167,給湯器,パナソニック 給湯器 28号 エコジョーズ追い焚き付き,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
c9382e7a0023,給湯器,パナソニック 給湯器 28号 標準,台,28号,B,E10,https://www.sunrefre.jp/gas/contents/gousu/,家庭用28号は非実在(16/20/24のみ)
4bed00260355,給湯器,パナソニック 給湯器 28号 石油（灯油） ふろ給湯 フルオート,台,パナ×ガス/石油,A,E07,https://sumai.panasonic.jp/hp/,パナはエコキュートのみ
